"Lime Creek Rd @Fisher Hollow (Creek)","Austin, TX","30.481779","-97.894073","on"
"Fitzhugh Rd @ Barton Creek","Austin, TX","30.242487","-98.011162","on"
"Fall Creek Rd @ Tributary to Fall Creek","Austin, TX","30.419184","-98.127342","on"
"Flint Rock Rd @ Tributary to Hurst Creek","Austin, TX","30.3307","-97.997841","on"
"Pedernales Canyon Trl @ Lick Creek","Austin, TX","30.36941","-98.088783","on"
"Hamilton Pool @Pedernales River","Austin, TX","30.34001","-98.138939","on"
"Ledgestone Terr @ Tributary to Pen Creek","Austin, TX","30.223341","-97.92926","on"
"Flintrock Circle @ Tributary to Pen Creek","Austin, TX","30.223345","-97.92411","on"
"Wyldwood Rd @Slaughter Creek","Austin, TX","30.175753","-97.859314","on"
"Wyldwood Rd @ Tributary to Slaughter Creek","Austin, TX","30.175926","-97.862549","on"
"Williamson Creek Dr @ Williamson Creek","Austin, TX","30.246428","-97.915123","on"
"Pitter Pat Ln @ Williamson Creek","Austin, TX","30.245514","-97.91362","on"
"Mowinkle Dr @ Williamson Creek","Austin, TX","30.242262","-97.90667","on"
"Big Sandy Dr @ Long Hollow","Austin, TX","30.570286","-97.948364","on"
"Juniper Trl @ Long Hollow (Creek)","Austin, TX","30.581793","-97.967262","on"
"Cottonwood Dr @ Long Hollow (Creek)","Austin, TX","30.58387","-97.971863","on"
"Live Oak Dr @ Long Hollow (Creek)","Austin, TX","30.585136","-97.967941","on"
"Nameless Rd @ Nameless Hollow (Creek)","Austin, TX","30.526802","-97.928017","on"
"Round Mountain Rd @ Bingham Creek","Austin, TX","30.580051","-97.945068","on"
"Slaughter Creek Dr @ Tributary to Slaughter Creek","Austin, TX","30.166294","-97.82132","on"
"Jacobson Rd between Alpine Dr and Linden Rd","Austin, TX","30.132555","-97.609001","on"
"Linden Rd @ Maha Creek","Austin, TX","30.133886","-97.58886","on"
"Citation Dr (Thoroughbred Farms subdiv) between Man-O-War Ave and Ponder Ln","Austin, TX","30.135599","-97.676346","on"
